Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;321.0614545;90;;;;;;;
Extension Fracture;324.5184203;90;;;;;;;
Extension Fracture;311.1585161;90;;;;;;;
Extension Fracture;324.5184203;90;;;;;;;
Extension Fracture;311.1585161;90;;;;;;;
Extension Fracture;172.0726579;90;;;;;;;
Extension Fracture;172.0301708;90;;;;;;;
Extension Fracture;172.0726579;90;;;;;;;
Extension Fracture;172.0301708;90;;;;;;;
Extension Fracture;155.2009917;90;;;;;;;
Extension Fracture;155.2009917;90;;;;;;;
Extension Fracture;143.0120752;90;;;;;;;
Extension Fracture;142.0747724;90;;;;;;;
Extension Fracture;142.0747724;90;;;;;;;
Extension Fracture;143.0120752;90;;;;;;;
